ACCOUNTING (9197)
AGRICULTURE (9159)
ART (9191)
BIOLOGY (9190)
BUSINESS STUDIES (9198)
COMPUTING(9195)
CHEMISTRY (9189)
DIVINITY (9154)
ECONOMICS (9158)
ENGLISH LANGUAGE AND COMMUNICATION SKILLS (8007)
FOOD SCIENCE(9194)
FRENCH (9163)
FURTHER MATHEMATICS (9187)
GEOGRAPHY (9156)
GEOMETRICAL & MECHANICAL/BUILDING DRAWING(9196)
HISTORY (9155)
LITERATURE IN ENGLISH(9153)
MATHEMATICS (9164)
NDEBELE (9147)
PHYSICS(9188)
SHONA (9145)
SOCIOLOGY (9157)
TEXTILES AND CLOTHING DESIGN (9193)
