ADDITIONAL MATHS,O Level
ART,O Level
BIOLOGY,O Level
PHYSICS ,O Level
BUSINESS STUDIES,O Level
CHEMISTRY (5071),O Level
COMMERCE (7103),O Level
COMPUTER STUDIES (7014),O Level
ECONOMICS(2283),O Level
ENGLISH (1122),O Level
ENGLISH LITERATURE (2013),O Level
FRENCH (3011),O Level
GEOGRAPHY (2248),O Level
HISTORY (2167),O Level
FASHION AND FABRICS (6051),O Level
FOOD AND NUTRITION (6064),O Level
HOME MANAGEMENT (6078)),O Level
HUMAN AND SOCIAL BIOLOGY (5097),O Level
INTEGRATED SCIENCE(5006),O Level
LAW (2292),O Level
MATHEMATICS (4008/4028),O Level
METALWORK (6045),O Level
MUSIC (6020),O Level
NDEBELE (3155),O Level
PHYSICAL SCIENCE(5009),O Level
PRINCIPLES OF ACCOUNTS (7112),O Level
RELIGIOUS STUDIES (2042,O Level
SOCIOLOGY (2252),O Level
STATISTICS (4041),O Level
TECHNICAL GRAPHICS(7049),O Level
TONGA (3156),O Level
WOODWORK (6035),O Level
