Allan Wilson High School,1,1
Arundel School,1,1
Bishopslea Preparatory School,1,1
Bob Maley High,1,1
Brian Tayengwa High School – [,1,1
Chisipite Junior School,1,1
Chisipite Senior School,1,1
Christ for Zimbabwe College,1,1
Christian College of Southern ,1,1
Churchill School (Harare)|Chur,1,1
Cornway College'''''Bold text',1,1
Cranborne Boys' High School,1,1
Danhiko Project,1,1
Dominican Convent High School,1,1
Dzivaresekwa High 1 School – [,1,1
Dzivaresekwa High 2 School – D,1,1
Eaglesvale High School,1,1
Eland Junior School – [[Mabelr,1,1
Ellis Robins School,1,1
Emerald Hill School,1,1
Futures Academy High School – ,1,1
Gateway High School (Zimbabwe),1,1
George Emmanuel College High S,1,1
Girls High School,1,1
Glen Norah High 1,1,1
Glen View 4 primary school,1,1
Harare High School,1,1
Harare International School,1,1
Hartmann House Preparatory Sch,1,1
Hatcliffe High School – Hatcli,1,1
Hatfield Junior School,1,1
Hellenic Academy,1,1
Highfield High School (Zimbabw,1,1
Highfield Secondary School,1,1
Highlands Infant School,1,1
Highlands Junior School,1,1
Hilbright Science College,1,1
His Mercy Christian College,1,1
International Academy,1,1
Kambuzuma High 1 School,1,1
Kambuzuma High School,1,1
Kuwadzana 1 High School,1,1
Kuwadzana 2 High School,1,1
Kwayedza High School,1,1
Lewisam Primary School,1,1
Lord Malvern School,1,1
Mabelreign Girls High School,1,1
Mabvuku High School,1,1
Maranatha Christian High Schoo,1,1
Maranatha Junior School,1,1
Marlborough High School,1,1
Mazowe Boys High School,1,1
Morgan High School Harare|Morg,1,1
Mount Pleasant School,1,1
Mubeena Ebrahim Primary School,1,1
Mufakose Mhuriimwe High School,1,1
Mufakose Number 1 High School,1,1
Mufakose Number 2 High School,1,1
Mufakose Number 3 High School,1,1
Mufakose Number 4 High School,1,1
Oriel High School,1,1
Pinewood High School,1,1
Prince Edward School,1,1
Queen Elizabeth Girls School (,1,1
Roosevelt Girls High,1,1
Sharon School,1,1
Speciss College,1,1
St Dominic's Chishawasha,1,1
St. Christopher's School,1,1
St. George's College,1,1
St. John's College (Harare)|St,1,1
St. John's High School (Harare,1,1
Sunny Day Christian Primary Sc,1,1
Tafara High School No. 1 – [[T,1,1
Tafara High School No. 2 – [[T,1,1
The Heritage School,1,1
Vainona High School,1,1
Washington Hills High School,1,1
Westridge High School,1,1
Witness Nyandoro High School,1,1
Wonders Christian Junior Colle,1,1
ZRP High School,1,1
B&P Study Centre,1,2
Blackman School,1,2
Chinembiri Primary School,1,2
Dudzai Primary School,1,2
Faith Learnng Centre,1,2
Fungisai Primary School,1,2
Herentals College,1,2
LightHouse Institute,1,2
Manyame Park High school,1,2
Mhuriimwe High School,1,2
Moonrise College,1,2
Ndangariro Primary,1,2
Nyatsime College,1,2
Pathway,1,2
Ridgeview 1 High,1,2
Seke 1 High School,1,2
Seke 2 High School,1,2
Seke 3 High School,1,2
Seke 4 High School,1,2
Seke 5 High School,1,2
Seke 6 High School,1,2
Shingai Primary,1,2
Speciss College,1,2
St Mary's Primary School,1,2
St Mary's Secondary School,1,2
Strategos College,1,2
Tadzikamidzi Primary School,1,2
Tasimukira Primary,1,2
Zengeza 1 High School,1,2
Zengeza 2 High School,1,2
Zengeza 3 High School,1,2
Zengeza 4 High School,1,2
Zengeza 4 Primary,1,2
Zengeza 5 Primary,1,2
Zengeza 7 Primary,1,2
Zengeza 8 Primary,1,2
Zengeza Main Primary School,1,2
Zengeza Proper,1,2
Amhlophe Secondary School,2,3
Baines Junior,2,3
Bulawayo Adventist Secondary S,2,3
Bulawayo Technical School,2,3
Centenary School,2,3
Christian Brothers College,2,3
Cowdray Park Secondary School,2,3
Dominican Convent High School,2,3
Emakhandeni Secondary School,2,3
Entumbane Secondary School,2,3
Eveline Girls High,2,3
Falcon College – Esigodini,2,3
Founders High School,2,3
Gifford High School,2,3
Girls' College,2,3
Hamilton High School (Bulawayo,2,3
Ihlati Secondary School,2,3
Lobengula Secondary School,2,3
Luveve High School,2,3
